Cust_id,Age,Income_group,Existing_Customer,Occupation_type,Education_Qualification,Dependents,Marital_Status,Gender,Debt_Burden_Ratio,Years_at_current_address,Credit_Amount,Housing_1_Own_2_Rent,Employed_since_yrs,Location,DPD_30_6M,DPD_60_6M,Months_on_book,Default_Flag,Occupation_Partner,Job_Seniority,Assets,Savings
40668,43,> 100000,0,Private,2,1,Married,F,< = 0.10,10,248626,2,14,Central,0,0,> = 6,0,fixed,5,0,1.32
51143,35,<=100000,0,Private,2,0,Married,F,> 0.50,7,169997,1,10,North,1,1,< 6,1,fixed,22,0,4.68
38688,43,> 100000,0,Private,2,0,Single,M,< = 0.10,7,124366,2,13,North,1,1,< 6,0,freelance,0,0,1.977777778
63216,34,<=100000,0,Private,1,1,Single,F,< = 0.50,11,290315,2,9,Central,0,0,< 6,0,partime,5,0,0.073846154
72215,36,<=100000,0,Govt,1,1,Married,F,< = 0.10,11,270344,1,6,North,0,0,> = 6,0,freelance,5,0,6.42
8378,40,< = 50000,0,Govt,2,0,Single,F,< = 0.10,4,176663,2,8,North,0,0,> = 6,0,freelance,1,100000,-0.672
83571,52,> 100000,0,Private,2,2,Married,M,< = 0.10,3,196482,1,19,North,0,0,< 6,0,freelance,9,0,2.008810573
65439,36,< = 50000,0,Govt,4,0,Married,M,< = 0.50,12,293157,2,8,North,1,1,< 6,1,fixed,25,30000,1.992
36701,44,< = 35000,0,Private,4,2,Single,F,< = 0.10,6,83322,1,7,Central,0,0,< 6,0,freelance,2,0,-0.3
21773,34,< = 50000,0,Govt,1,0,Married,F,< = 0.50,0,118062,2,9,Central,1,0,> = 6,1,fixed,16,21500,2.858181818
2991,34,<=100000,0,Private,1,0,Single,M,> 0.50,5,196452,2,7,Central,1,1,< 6,0,fixed,3,0,-1.028571429
23688,34,<=100000,0,Private,3,0,Married,F,< = 0.10,2,287895,1,8,South,0,0,< 6,0,partime,3,0,10.08849558
99767,42,> 100000,0,Govt,3,0,Single,F,< = 0.10,10,110060,2,7,South,0,0,> = 6,0,freelance,27,148,0.071964
35778,36,<=100000,0,Private,2,0,Married,F,< = 0.50,10,150567,2,10,Central,1,1,> = 6,1,fixed,2,3000,2.8
45732,51,> 100000,0,Private,1,1,Single,M,< = 0.10,12,280922,2,18,Central,0,0,< 6,0,fixed,14,3400,-0.52
55633,51,< = 50000,0,Govt,3,1,Married,F,< = 0.10,14,284149,1,20,Central,0,0,> = 6,0,freelance,2,13000,-1.8
58512,42,<=100000,0,Private,1,1,Married,M,> 0.50,7,74613,2,17,South,1,1,< 6,1,fixed,6,0,18.59016393
81413,43,<=100000,0,Govt,2,0,Married,M,< = 0.10,7,215168,2,7,Central,0,0,< 6,0,fixed,0,0,5.4
63956,34,< = 50000,0,Private,3,1,Single,F,< = 0.10,15,210249,1,8,South,0,0,> = 6,0,fixed,10,1000,3.6
91729,52,> 100000,0,Govt,1,1,Single,M,> 0.50,12,278119,1,15,Central,1,1,> = 6,0,partime,0,8500,1.523809524
73638,49,> 100000,0,Private,3,1,Single,M,< = 0.10,13,52013,1,12,South,1,0,< 6,0,fixed,1,3000,-1.309090909
64727,51,> 100000,0,Private,1,0,Married,F,> 0.50,3,291831,1,16,North,0,0,< 6,0,freelance,2,0,5.691428571
24053,49,<=100000,1,Private,4,1,Married,M,< = 0.10,9,182159,1,15,Central,1,0,< 6,0,fixed,4,0,2.569948187
51356,48,> 100000,0,Private,4,1,Single,F,< = 0.50,8,162970,2,16,Central,0,0,< 6,0,others,0,25000,13.12941176
34818,55,<=100000,0,Private,1,1,Married,M,< = 0.10,6,232998,1,14,Central,0,0,> = 6,0,freelance,4,0,1.376470588
70058,54,<=100000,0,Private,4,1,Married,M,> 0.50,13,131738,1,19,Central,0,0,< 6,0,fixed,2,1500,0.66
47440,33,< = 50000,0,Govt,1,0,Married,M,< = 0.10,8,158878,2,7,South,0,0,> = 6,0,partime,2,2500,1.92
7855,48,> 100000,0,Private,3,2,Married,M,< = 0.10,3,73080,1,17,North,0,0,< 6,0,partime,2,0,4.965517241
39335,43,< = 50000,0,Govt,4,1,Married,F,< = 0.50,14,108102,1,6,South,0,0,> = 6,0,fixed,2,0,1.276595745
21769,34,< = 50000,0,Govt,3,1,Married,M,< = 0.10,2,168529,2,6,North,0,0,< 6,0,freelance,1,3000,4.145454545
10600,41,> 100000,0,Private,4,2,Single,M,> 0.50,10,163042,2,9,Central,0,0,< 6,0,fixed,5,10000,-1.632
33864,24,< = 25000,0,Private,1,1,Married,F,< = 0.10,8,195587,1,2,Central,0,0,> = 6,0,freelance,2,13000,-1.8
7335,45,<=100000,0,Govt,1,1,Married,F,< = 0.10,6,127948,1,8,South,1,1,< 6,0,partime,1,0,0.15
76571,38,< = 35000,0,Govt,3,0,Single,M,< = 0.10,10,89990,1,9,South,0,0,> = 6,0,partime,0,3500,1.44
52724,47,> 100000,0,Private,1,0,Married,F,> 0.50,15,112769,1,13,North,0,0,< 6,0,fixed,16,4500,1.665
51710,38,<=100000,0,Private,3,1,Single,F,< = 0.10,10,259618,1,9,South,1,1,> = 6,0,partime,1,0,3.433846154
95418,22,< = 25000,0,Private,4,0,Single,M,< = 0.10,8,200077,2,2,North,0,0,> = 6,0,freelance,1,0,4.468965517
66538,46,> 100000,1,Private,4,1,Single,M,< = 0.10,11,270889,1,19,North,1,0,< 6,0,others,0,0,1.354285714
20763,22,< = 25000,0,Private,2,2,Married,F,< = 0.10,9,190351,2,3,Central,0,0,< 6,0,fixed,0,0,1.681528662
4516,44,< = 35000,0,Private,4,1,Married,M,< = 0.10,10,222566,1,6,South,0,0,> = 6,0,others,0,1,-1.371428571
16339,33,<=100000,0,Private,3,2,Single,M,< = 0.10,7,134898,1,8,South,1,1,> = 6,0,fixed,25,3500,3.508571429
76759,45,> 100000,0,Govt,2,1,Married,F,< = 0.50,15,132363,2,18,North,0,0,> = 6,0,partime,0,4000,-0.414
70124,42,<=100000,0,Govt,1,1,Married,F,< = 0.10,10,223932,1,16,Central,0,0,> = 6,0,fixed,3,0,11.25
5957,43,< = 50000,0,Self-Employed,2,0,Single,F,> 0.50,10,112217,1,13,Central,0,1,> = 6,1,fixed,7,12000,7.508571429
56490,44,> 100000,0,Self-Employed,2,1,Married,M,< = 0.10,12,53342,2,8,Central,0,0,> = 6,0,fixed,0,1,1.443037975
92823,46,<=100000,0,Private,1,2,Single,M,< = 0.10,9,117855,1,17,Central,0,0,> = 6,0,fixed,12,4000,0.103448276
29745,36,<=100000,0,Self-Employed,1,0,Married,M,> 0.50,8,118721,2,10,Central,1,0,> = 6,1,fixed,18,3000,1.476923077
7739,31,< = 35000,0,Govt,3,2,Married,F,< = 0.50,9,85805,1,4,Central,1,1,< 6,0,freelance,0,0,0.728571429
86803,23,< = 15000,0,Govt,4,1,Single,M,< = 0.10,14,189748,2,2,North,0,0,> = 6,0,freelance,5,21500,7.38
60240,33,< = 35000,0,Govt,2,1,Married,M,< = 0.50,11,204945,1,10,South,0,0,> = 6,0,fixed,2,0,5.386666667
97656,39,<=100000,0,Private,1,0,Single,M,< = 0.10,15,64596,1,10,Central,0,0,> = 6,0,freelance,11,13600,8
31162,54,> 100000,0,Govt,3,2,Married,M,< = 0.10,11,141995,2,18,South,0,0,> = 6,0,partime,5,2000,1.911428571
67516,36,< = 50000,0,Govt,4,0,Married,F,< = 0.50,12,55020,2,7,North,1,1,> = 6,1,freelance,1,8000,3.168
2767,42,<=100000,0,Private,1,1,Single,M,< = 0.10,9,181180,2,7,South,0,0,< 6,0,fixed,0,8000,2.88
84629,51,> 100000,0,Private,1,1,Single,M,< = 0.50,10,177500,2,18,North,0,0,< 6,0,fixed,2,1500,0.66
61677,44,< = 50000,0,Govt,2,1,Married,M,< = 0.10,2,236598,2,8,South,0,0,> = 6,0,others,4,3500,-1.0848
56931,55,< = 50000,0,Private,1,1,Married,F,< = 0.10,12,151221,2,18,North,0,0,< 6,0,fixed,1,1500,-0.96
4361,49,> 100000,0,Private,3,0,Single,F,< = 0.10,12,269252,1,19,Central,0,0,< 6,0,others,10,0,8.4
44929,41,<=100000,0,Private,1,0,Single,M,< = 0.50,4,187856,2,9,North,1,1,< 6,1,freelance,8,5000,1.88
86859,45,> 100000,0,Self-Employed,1,1,Single,M,< = 0.10,9,201562,1,16,South,0,0,< 6,0,partime,0,4500,2.331428571
37372,53,> 100000,0,Govt,2,0,Married,F,< = 0.10,10,175292,2,20,Central,0,0,> = 6,0,fixed,2,1200,2.7
32436,40,<=100000,0,Private,2,2,Single,F,< = 0.50,14,82868,2,7,South,0,1,< 6,1,fixed,32,4000,7.92
72956,44,> 100000,1,Private,1,1,Married,M,< = 0.10,7,188743,2,8,North,1,0,< 6,0,freelance,7,0,1.751824818
53589,48,<=100000,0,Private,3,1,Married,M,< = 0.50,6,163261,1,13,North,0,0,> = 6,0,freelance,15,0,-1.460869565
90223,46,<=100000,0,Private,2,0,Married,F,< = 0.10,14,219174,1,15,South,0,0,< 6,0,fixed,5,2500,0.492
87415,40,<=100000,0,Private,2,1,Married,M,< = 0.10,11,55395,2,8,South,0,0,> = 6,0,others,0,0,0
70014,40,< = 50000,0,Private,3,0,Single,F,< = 0.10,8,229901,2,9,Central,0,0,< 6,0,fixed,3,0,4.163265306
34734,41,< = 50000,0,Govt,2,1,Married,F,< = 0.10,14,238432,2,7,Central,0,0,< 6,0,partime,1,2000,0.2
52242,43,<=100000,0,Govt,4,0,Single,M,< = 0.10,9,179772,2,19,North,0,0,< 6,0,others,1,0,1.4208
46000,43,> 100000,0,Govt,2,1,Married,F,< = 0.50,9,289177,1,14,Central,1,0,< 6,0,partime,0,0,1.430769231
60351,30,< = 25000,0,Govt,2,1,Married,F,< = 0.50,7,211740,2,5,Central,1,1,> = 6,0,partime,0,0,0.688073394
49838,36,< = 50000,0,Private,3,0,Single,M,< = 0.50,7,135635,2,9,North,1,0,< 6,1,fixed,12,5000,3.869158879
44013,31,< = 25000,0,Private,3,1,Married,F,< = 0.50,15,168580,1,2,North,0,0,< 6,0,freelance,9,4000,13.32
48088,25,< = 35000,0,Private,3,1,Married,F,< = 0.10,10,275922,1,1,North,0,0,< 6,0,fixed,0,5500,3.743589744
68294,34,<=100000,0,Govt,1,1,Married,M,< = 0.10,4,153430,2,8,Central,0,0,> = 6,0,others,2,5000,-1.411764706
18647,47,<=100000,0,Govt,1,2,Married,F,< = 0.10,7,223101,2,17,Central,0,0,> = 6,0,partime,2,0,2.181818182
77872,50,<=100000,0,Private,3,1,Married,F,< = 0.10,11,175070,1,19,Central,1,1,< 6,0,fixed,5,0,-0.106105263
35639,37,<=100000,0,Govt,1,0,Single,M,< = 0.10,10,231650,2,10,North,0,1,> = 6,1,fixed,10,5000,6.5
59119,27,< = 15000,0,Self-employed,2,1,Married,F,> 0.50,6,245864,2,5,Central,1,1,< 6,1,fixed,21,1500,3.4
75319,39,<=100000,0,Self-Employed,1,0,Married,F,> 0.50,14,122685,2,10,Central,1,1,> = 6,1,fixed,3,0,1.2
9210,26,< = 25000,0,Govt,2,2,Married,F,< = 0.10,5,146539,2,5,Central,0,0,> = 6,0,fixed,2,1500,-0.96
38471,41,< = 50000,0,Govt,4,2,Married,M,< = 0.50,8,87158,1,8,Central,0,0,< 6,0,fixed,1,3500,5.43
30630,32,< = 35000,0,Private,2,1,Married,F,< = 0.10,4,245105,2,5,North,0,0,> = 6,0,fixed,0,0,-0.868965517
32179,51,> 100000,0,Private,3,2,Single,F,> 0.50,15,156239,1,18,South,0,0,> = 6,0,fixed,5,0,2.064
22664,37,<=100000,0,Private,2,1,Married,F,< = 0.10,15,256179,2,6,Central,1,1,> = 6,0,fixed,6,0,2.618181818
84041,41,<=100000,0,Private,3,1,Married,M,< = 0.10,9,261328,2,9,South,0,0,< 6,0,partime,1,0,5.228571429
59140,37,<=100000,0,Govt,2,1,Married,F,> 0.50,13,186779,2,8,North,1,1,< 6,1,others,0,50000,12.31578947
23156,53,<=100000,0,Private,2,1,Married,F,< = 0.10,9,80547,2,19,South,0,0,< 6,0,partime,1,0,-0.24
67847,37,< = 50000,0,Govt,4,1,Single,M,> 0.50,3,165507,2,10,Central,1,1,> = 6,1,fixed,26,0,3.380952381
76442,47,<=100000,0,Private,4,1,Married,M,< = 0.10,12,243802,2,13,South,0,0,< 6,0,fixed,2,0,5.386666667
68836,50,> 100000,0,Govt,1,2,Married,M,< = 0.10,13,280730,1,15,South,0,0,< 6,0,freelance,1,3000,3.68
7108,35,> 100000,0,Self-Employed,4,1,Single,M,< = 0.10,3,95767,2,9,North,0,0,> = 6,0,freelance,6,3000,8.34
58940,42,> 100000,0,Self-Employed,2,2,Single,M,< = 0.10,7,256147,2,10,North,0,0,< 6,0,fixed,1,0,3.375
79285,43,> 100000,0,Private,2,0,Single,F,< = 0.10,8,109130,2,15,South,0,0,< 6,0,partime,0,8000,5.12
33834,39,> 100000,1,Private,4,2,Single,F,< = 0.10,6,205952,1,9,Central,1,0,< 6,0,fixed,13,3500,0.545454545
48641,45,> 100000,0,Private,2,1,Married,M,> 0.50,0,238405,1,11,North,0,0,> = 6,0,fixed,2,4000,1.253333333
85676,50,> 100000,0,Private,4,1,Single,M,< = 0.10,14,73684,2,12,South,0,0,< 6,0,freelance,25,3000,-0.936
58924,40,< = 35000,0,Private,3,0,Single,M,< = 0.50,1,258950,2,9,South,1,2,> = 6,1,fixed,18,0,6.830769231
21016,29,< = 25000,0,Govt,3,1,Married,F,< = 0.50,12,182708,2,4,North,0,0,< 6,0,freelance,2,2000,1.44
64745,54,> 100000,0,Private,4,0,Single,M,< = 0.10,13,80971,2,19,South,0,0,> = 6,0,partime,0,2500,7.2
69464,39,< = 35000,0,Govt,1,1,Married,F,< = 0.10,6,135554,2,8,South,0,0,< 6,0,others,0,0,2.016
60778,28,< = 25000,0,Govt,4,1,Single,M,< = 0.10,14,184349,2,1,Central,0,0,< 6,0,partime,2,5000,7.02
15120,52,> 100000,0,Private,4,0,Married,M,< = 0.10,2,254647,2,15,Central,0,0,> = 6,0,fixed,2,0,1.02
67529,45,<=100000,0,Private,3,2,Married,F,< = 0.50,11,182607,2,11,Central,1,1,> = 6,1,freelance,3,3000,5.981538462
28847,40,<=100000,0,Private,2,0,Married,F,< = 0.50,14,291378,2,7,North,1,0,> = 6,1,fixed,4,3500,3.648
95234,40,< = 35000,0,Private,2,1,Single,M,> 0.50,15,108537,2,8,North,1,1,< 6,1,fixed,5,40000,0.668571429
7806,55,> 100000,0,Govt,1,1,Married,F,< = 0.10,10,270541,2,15,South,0,0,> = 6,0,fixed,3,0,0.624
80177,43,< = 50000,0,Private,3,0,Married,F,< = 0.50,7,69555,2,8,South,1,1,< 6,1,freelance,22,37000,27.216
68063,41,<=100000,0,Private,2,1,Single,F,< = 0.50,14,145582,2,6,North,1,1,> = 6,1,freelance,3,11000,4.2
18714,22,< = 35000,0,Govt,3,1,Single,F,> 0.50,7,83602,2,3,South,1,1,> = 6,1,partime,0,11500,1.636363636
95279,53,< = 50000,0,Govt,2,1,Single,M,< = 0.10,14,245774,1,14,North,0,0,> = 6,0,fixed,2,0,0.757894737
34835,23,< = 35000,0,Govt,4,1,Married,F,< = 0.50,13,287442,1,2,Central,0,0,< 6,0,partime,1,4000,0.205090909
21195,43,<=100000,0,Private,3,0,Single,M,< = 0.50,8,202245,2,7,Central,1,0,> = 6,1,others,4,2500,1.565217391
53766,37,<=100000,0,Private,4,2,Single,F,< = 0.10,2,138908,1,8,North,1,1,< 6,0,partime,0,5000,2.021052632
32819,43,> 100000,0,Private,3,2,Single,F,< = 0.10,5,220158,1,20,North,1,1,< 6,0,freelance,2,5000,2.76
77094,24,< = 25000,0,Govt,1,1,Single,F,< = 0.10,7,218598,1,1,South,0,0,> = 6,0,fixed,0,3500,5.380645161
65805,52,<=100000,0,Private,2,2,Married,F,< = 0.50,13,207750,1,13,South,0,0,> = 6,0,fixed,3,0,3.908571429
16108,50,> 100000,0,Private,4,1,Single,M,> 0.50,0,236479,2,19,South,1,1,< 6,1,freelance,12,0,1.575
21557,43,< = 35000,0,Private,3,1,Married,F,< = 0.50,9,101573,2,8,North,1,1,< 6,0,partime,0,0,9.525
90036,40,<=100000,0,Private,2,1,Married,F,< = 0.10,8,171268,1,7,South,1,1,> = 6,0,fixed,10,6000,0.955752212
92591,39,> 100000,0,Private,1,0,Single,M,< = 0.10,15,227289,2,9,Central,0,0,> = 6,0,others,0,0,-0.72
20012,43,<=100000,0,Private,2,1,Married,M,< = 0.50,12,145778,1,8,Central,1,1,< 6,0,fixed,11,3500,24
39866,36,< = 35000,0,Govt,3,1,Married,M,< = 0.50,14,246187,1,7,North,0,0,> = 6,0,partime,0,5000,0.541935484
3278,50,> 100000,0,Private,4,1,Married,M,< = 0.10,14,50064,2,17,South,0,0,> = 6,0,freelance,6,86000,17.5483871
37255,45,< = 35000,0,Private,3,0,Married,M,< = 0.10,7,113079,2,8,South,1,1,< 6,0,others,2,0,3.536842105
37946,45,> 100000,0,Private,3,1,Married,M,< = 0.10,5,104889,1,19,South,0,0,> = 6,0,fixed,2,7000,8.411214953
18105,42,<=100000,0,Private,1,0,Single,M,< = 0.50,9,276598,1,7,North,0,0,< 6,0,freelance,35,11700,3.710769231
12920,47,> 100000,0,Private,2,2,Single,M,< = 0.10,9,270568,1,17,Central,0,0,> = 6,0,freelance,4,40000,6.651428571
76021,46,> 100000,0,Private,3,0,Single,M,> 0.50,12,52361,2,13,South,0,0,< 6,0,fixed,11,2000,5.284285714
62933,40,<=100000,0,Private,1,0,Married,M,< = 0.10,14,66706,2,8,South,0,0,> = 6,0,partime,0,0,3.65
76265,50,<=100000,0,Private,4,1,Married,F,< = 0.10,12,254557,2,13,Central,0,0,< 6,0,freelance,0,0,3.79862069
9667,34,<=100000,0,Govt,3,0,Married,M,< = 0.50,2,269442,2,7,Central,1,1,< 6,1,fixed,10,12000,1.28
31916,55,> 100000,0,Private,1,0,Married,F,< = 0.10,11,145748,2,12,South,0,0,< 6,0,partime,5,5000,0.818181818
1891,28,< = 15000,0,Private,2,2,Single,M,< = 0.50,15,106577,2,2,North,0,0,< 6,0,freelance,5,0,-0.168
93580,27,< = 25000,0,Private,2,1,Married,F,< = 0.10,0,263116,2,4,South,0,0,> = 6,0,fixed,10,3000,4.545454545
87325,42,> 100000,0,Govt,2,1,Single,M,< = 0.10,13,86393,2,18,South,1,1,> = 6,0,freelance,2,0,10.4
57514,49,<=100000,0,Govt,2,2,Married,M,> 0.50,4,87272,2,15,Central,1,1,> = 6,1,fixed,18,0,4.2525
56777,40,< = 50000,0,Govt,4,1,Married,M,< = 0.10,8,104521,1,8,Central,1,1,> = 6,0,partime,0,0,6.282352941
16556,38,<=100000,0,Private,3,0,Married,F,< = 0.10,6,189891,1,10,South,0,0,> = 6,0,partime,0,0,3
93646,44,> 100000,0,Private,2,1,Married,F,> 0.50,15,265058,1,9,North,0,0,< 6,0,fixed,10,0,2.2125
14394,29,< = 25000,0,Private,3,1,Single,F,< = 0.50,12,132636,1,2,Central,0,0,< 6,0,partime,1,4000,0.205090909
29772,45,<=100000,0,Private,4,1,Single,F,< = 0.10,11,127707,2,8,Central,0,0,< 6,0,fixed,0,0,3.2
42274,42,<=100000,0,Private,4,1,Married,F,< = 0.50,14,148951,1,12,Central,0,0,< 6,0,freelance,7,4500,2.7
86208,37,< = 50000,0,Govt,3,0,Married,M,< = 0.10,6,241659,2,6,Central,0,0,> = 6,0,partime,1,8000,2.563636364
83243,34,<=100000,0,Private,2,1,Single,F,< = 0.10,8,93978,1,9,Central,0,0,> = 6,0,fixed,2,13000,-1.595567867
56918,33,<=100000,0,Govt,2,1,Married,F,< = 0.50,5,201948,2,9,Central,0,0,< 6,0,fixed,1,8000,1.365333333
16421,40,< = 50000,0,Govt,2,1,Married,M,< = 0.10,12,167103,1,9,North,1,1,< 6,0,partime,0,750,3.709090909
75554,55,> 100000,0,Private,1,1,Single,F,< = 0.10,4,253292,1,14,Central,0,0,< 6,0,others,2,0,0.1125
41578,47,<=100000,0,Govt,2,1,Married,M,< = 0.50,9,76976,1,18,North,0,0,< 6,0,freelance,1,3000,4.145454545
10593,46,> 100000,0,Private,4,1,Married,F,< = 0.50,1,172068,1,20,South,0,0,> = 6,0,fixed,3,0,2.8125
70696,53,> 100000,0,Govt,4,1,Single,F,< = 0.50,10,72423,2,20,Central,0,0,> = 6,0,freelance,0,7600,2.825938567
56563,47,> 100000,0,Private,4,1,Married,M,< = 0.10,12,210104,2,13,Central,0,0,> = 6,0,partime,2,0,2.275862069
95651,43,<=100000,0,Govt,4,1,Married,M,> 0.50,9,103779,2,10,South,1,1,< 6,1,freelance,10,40000,3.78
73411,39,< = 35000,0,Govt,1,2,Single,F,< = 0.50,9,96397,1,10,South,0,1,< 6,1,fixed,11,5000,6.57
73910,39,<=100000,0,Private,3,1,Single,M,< = 0.10,15,114618,2,7,South,0,0,> = 6,0,partime,2,0,1.2
